Organism,VEuPathDB Project,Genome Source,Genome Version/Assembly ID,Structural Annotation Version,Is Reference Strain,Contigs,Supercontigs,Chromosomes,Protein coding genes,Non Protein coding genes,Pseudogenes,User comments,Orthologs,GO terms,EC#,NCBI taxon ID,Organellar genome(s),Search Weight,Mega base Pairs,Structural Annotation Source,Species,Strain,ChIP chip,ESTs,Genes,Microarray,Popset Sequences,Proteomics
Trypanosoma cruzi Dm28c 2018,TriTrypDB,GenBank,GCA_003177105.1,"May 30, 2018",no,636,0,0,15319,3793,1878,27,15319,8567,2145,N/A,no,10,   53.27,GenBank,Trypanosoma cruzi,Dm28c 2018,N/A,1793,19112,N/A,43386,N/A
Trypanosoma cruzi strain G,TriTrypDB,INSDC,GCA_003719455.1,"Nov 08, 2018",no,0,1450,0,12708,795,740,1,12708,4546,57,N/A,no,10,   25.17,GenBank,Trypanosoma cruzi,strain G,N/A,1932,13503,N/A,46126,N/A
Trypanosoma cruzi strain S11,TriTrypDB,INSDC,GCA_003594385.1,N/A,no,0,7855,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,   28.48,N/A,Trypanosoma cruzi,strain S11,N/A,N/A,N/A,N/A,N/A,N/A
Trypanosoma cruzi strain S15,TriTrypDB,INSDC,GCA_003594585.1,N/A,no,0,9197,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,   27.51,N/A,Trypanosoma cruzi,strain S15,N/A,N/A,N/A,N/A,N/A,N/A
Trypanosoma cruzi strain S154a,TriTrypDB,INSDC,GCA_003594715.1,N/A,no,0,6946,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,   19.27,N/A,Trypanosoma cruzi,strain S154a,N/A,N/A,N/A,N/A,N/A,N/A
Trypanosoma cruzi strain S162a,TriTrypDB,INSDC,GCA_003594605.1,N/A,no,0,8588,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,   27.30,N/A,Trypanosoma cruzi,strain S162a,N/A,N/A,N/A,N/A,N/A,N/A
Trypanosoma cruzi strain S23b,TriTrypDB,INSDC,GCA_003594425.1,N/A,no,0,7145,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,   28.13,N/A,Trypanosoma cruzi,strain S23b,N/A,N/A,N/A,N/A,N/A,N/A
Trypanosoma cruzi strain S44a,TriTrypDB,INSDC,GCA_003594705.1,N/A,no,0,4971,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,   17.19,N/A,Trypanosoma cruzi,strain S44a,N/A,N/A,N/A,N/A,N/A,N/A
Trypanosoma cruzi strain S92a,TriTrypDB,INSDC,GCA_003594445.1,N/A,no,0,7134,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,   27.08,N/A,Trypanosoma cruzi,strain S92a,N/A,N/A,N/A,N/A,N/A,N/A
Trypanosoma cruzi Sylvio X10/1,TriTrypDB,AnderssonLab,"Mar 18, 2017","Mar 18, 2017",no,0,0,47,20619,65,1976,4,18643,3088,N/A,N/A,no,10,   41.38,AnderssonLab,Trypanosoma cruzi,Sylvio X10/1,N/A,943,20684,N/A,23365,N/A
Trypanosoma cruzi Sylvio X10/1-2012,TriTrypDB,GenBank,GCA_000188675.2,"Oct 2, 2012",no,27019,0,0,10847,29,29,22,10847,4355,59,N/A,no,10,   38.59,GenBank,Trypanosoma cruzi,Sylvio X10/1-2012,N/A,1517,10876,N/A,29316,N/A
Trypanosoma cruzi TCC,TriTrypDB,GenBank,GCA_003177095.1,"May 30, 2018",no,1236,0,0,24191,5111,2964,7,24191,13368,2320,N/A,no,10,   87.06,GenBank,Trypanosoma cruzi,TCC,N/A,2033,29302,N/A,43047,N/A
Trypanosoma cruzi strain Y,TriTrypDB,GenBank,GCA_002749425.1,n/a,no,9821,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,   39.04,n/a,Trypanosoma cruzi,strain Y,N/A,N/A,N/A,N/A,N/A,N/A
Trypanosoma cruzi Y C6,TriTrypDB,GenBank,GCA_015033655.1,"Aug 26, 2019",no,226,0,40,14268,3382,3382,7,14268,5499,43,N/A,no,10,   47.22,TarletonLab,Trypanosoma cruzi,Y C6,N/A,1957,17650,N/A,37029,N/A
Trypanosoma cruzi strain Ycl2,TriTrypDB,INSDC,GCA_003594485.1,N/A,no,0,6884,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,   25.91,N/A,Trypanosoma cruzi,strain Ycl2,N/A,N/A,N/A,N/A,N/A,N/A
Trypanosoma cruzi strain Ycl4,TriTrypDB,INSDC,GCA_003594405.1,N/A,no,0,6664,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,   26.14,N/A,Trypanosoma cruzi,strain Ycl4,N/A,N/A,N/A,N/A,N/A,N/A
Trypanosoma cruzi strain Ycl6,TriTrypDB,INSDC,GCA_003594465.1,N/A,no,0,6967,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,   25.78,N/A,Trypanosoma cruzi,strain Ycl6,N/A,N/A,N/A,N/A,N/A,N/A
Trypanosoma cruzi marinkellei strain B7,TriTrypDB,GenBank,GCA_000300495.1,"Jun 03, 2014",no,0,16783,0,10228,0,0,20,10228,4112,55,N/A,no,10,   38.65,SchnauferLab,Trypanosoma cruzi,marinkellei strain B7,N/A,1282,10228,N/A,28921,N/A
Trypanosoma equiperdum OVI,TriTrypDB,INSDC,GCA_001457755.2,"Oct 05, 2016",yes,0,2026,0,7668,1467,1396,N/A,7668,4667,874,N/A,no,10,   26.23,GenBank,Trypanosoma equiperdum,OVI,N/A,N/A,9135,N/A,36325,N/A
Trypanosoma evansi strain STIB 805,TriTrypDB,SchnauferLab,"Jun 03, 2014","Jun 03, 2014",yes,0,0,13,10109,65,1190,16,8919,3597,N/A,N/A,no,10,   25.43,SchnauferLab,Trypanosoma evansi,strain STIB 805,N/A,N/A,10174,N/A,34234,N/A
Tritrichomonas foetus strain K,TrichDB,INSDC,GCA_001839685.1,"Oct 25, 2016",yes,0,1480,0,25030,306,0,N/A,25030,14127,1240,N/A,no,10,   67.59,GenBank,Tritrichomonas foetus,strain K,N/A,1820,25336,N/A,694,N/A
Toxoplasma gondii strain ME49xCTG F1 S27,ToxoDB,INSDC,GCA_014898695.1,N/A,no,0,50,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,   64.13,N/A,Toxoplasma gondii,strain ME49xCTG F1 S27,N/A,N/A,N/A,N/A,N/A,N/A
Toxoplasma gondii RH 2016,ToxoDB,GenBank,GCA_001593265.1,n/a,no,441,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,   69.35,n/a,Toxoplasma gondii,RH 2016,N/A,N/A,N/A,N/A,N/A,N/A
Trypanosoma grayi ANR4,TriTrypDB,GenBank,GCA_000691245.1,"Jun 17, 2014",yes,2871,0,0,10585,91,2,15,10585,4444,1,N/A,no,10,   20.93,GenBank,Trypanosoma grayi,ANR4,N/A,N/A,10676,N/A,34549,N/A
Trachipleistophora hominis Unknown strain,MicrosporidiaDB,GenBank,GCA_000316135.1,"Mar 19, 2015",yes,0,310,0,3212,41,0,N/A,3212,1606,577,N/A,no,10,    8.50,GenBank,Trachipleistophora hominis,Unknown strain,N/A,N/A,3253,N/A,42,N/A
Triatoma infestans isolate FIOC_28,VectorBase,INSDC,GCA_011037195.1,N/A,yes,0,14951,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,  949.49,N/A,Triatoma infestans,isolate FIOC_28,N/A,N/A,N/A,N/A,N/A,N/A
Talaromyces marneffei TM4,FungiDB,INSDC,GCA_003971505.1,N/A,no,0,0,8,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,   28.31,N/A,Talaromyces marneffei,TM4,N/A,N/A,N/A,N/A,N/A,N/A
Trichophyton mentagrophytes TIMM 2789,FungiDB,INSDC,GCA_003118255.1,"Mar 07, 2018",yes,0,16543,0,7860,98,0,N/A,7860,4858,N/A,N/A,no,10,   24.07,GenBank,Trichophyton mentagrophytes,TIMM 2789,N/A,72,7958,N/A,13208,N/A
Tubulinosema ratisbonensis Franzen,MicrosporidiaDB,INSDC,GCA_004000155.1,"Jan 08, 2019",yes,0,952,0,3013,69,0,N/A,3013,1731,192,N/A,no,10,    7.56,GenBank,Tubulinosema ratisbonensis,Franzen,N/A,N/A,3082,N/A,2,N/A
Trichoderma reesei QM6a 2017,FungiDB,INSDC,GCA_002006585.1,"May 18, 2021",no,0,0,7,10079,159,0,N/A,10079,5691,3,N/A,no,10,   34.92,WangLab,Trichoderma reesei,QM6a 2017,N/A,4748,10238,N/A,12515,N/A
Trichomonas tenax strain NIH4 ATCC 30207,TrichDB,INSDC,GCA_900231805.1,N/A,yes,0,4161,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,   46.74,N/A,Trichomonas tenax,strain NIH4 ATCC 30207,N/A,N/A,N/A,N/A,N/A,N/A
Trypanosoma theileri isolate Edinburgh,TriTrypDB,GenBank,GCA_002087225.1,"Apr 12, 2017",yes,253,0,0,11312,0,0,3,11312,5808,817,N/A,no,10,   29.60,GenBank,Trypanosoma theileri,isolate Edinburgh,N/A,N/A,11312,N/A,32429,N/A
Verruconis gallopava strain CBS 43764,FungiDB,INSDC,GCA_000836295.1,"Jun 16, 2016",yes,0,367,0,9818,53,5,N/A,9818,6714,925,N/A,no,10,   31.78,GenBank,Verruconis gallopava,strain CBS 43764,N/A,N/A,9871,N/A,98,N/A
Yarrowia lipolytica CLIB89 (W29),FungiDB,GenBank,GCA_001761485.1,"Oct 25, 2016",no,0,0,6,7949,797,1,N/A,7949,5016,991,N/A,yes,10,   20.55,GenBank,Yarrowia lipolytica,CLIB89 (W29),N/A,4188,8746,N/A,4147,N/A
